boot_log_file,total_boot_time,uboot_time,uncompress_time,kernel_time
boot_logs/boot_log_run_1.txt,77.612707,2.020231,70.599057,4.779574
boot_logs/boot_log_run_2.txt,77.565723,2.015044,70.600366,4.737149
boot_logs/boot_log_run_3.txt,77.550893,2.015218,70.599399,4.723440
boot_logs/boot_log_run_4.txt,77.540009,2.008341,70.600066,4.718580
boot_logs/boot_log_run_5.txt,77.522730,2.008194,70.599984,4.701590
boot_logs/boot_log_run_6.txt,77.578484,2.008025,70.599929,4.757545
boot_logs/boot_log_run_7.txt,77.567475,2.015228,70.599937,4.739307
boot_logs/boot_log_run_8.txt,77.567461,2.015076,70.599819,4.739571
boot_logs/boot_log_run_9.txt,77.584432,2.008096,70.599805,4.763558
boot_logs/boot_log_run_10.txt,77.609366,2.016030,70.599810,4.780519
