boot_log_file,total_boot_time,uboot_time,uncompress_time,kernel_time
boot_logs/boot_log_run_1.txt,38.319178,2.014239,31.321419,4.769553
boot_logs/boot_log_run_2.txt,38.278989,2.024025,31.322455,4.718537
boot_logs/boot_log_run_3.txt,38.290111,2.025067,31.322449,4.729589
boot_logs/boot_log_run_4.txt,38.313188,2.034255,31.321438,4.743503
boot_logs/boot_log_run_5.txt,38.285115,2.027099,31.321663,4.723358
boot_logs/boot_log_run_6.txt,38.251984,2.014032,31.321430,4.702529
boot_logs/boot_log_run_7.txt,38.267076,2.020075,31.322442,4.711603
boot_logs/boot_log_run_8.txt,38.273906,2.019931,31.322442,4.718577
boot_logs/boot_log_run_9.txt,38.261142,2.007188,31.321445,4.719519
boot_logs/boot_log_run_10.txt,38.305262,2.027192,31.321238,4.743599
